콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
왕산해수욕장,인천광역시 중구 을왕동,,,129256,12,0,,A01,A0101,A01011200,,126.3693185709,37.4565312636,6,20060926090000,20240612172842,,2,10
오보 해수욕장,경상북도 영덕군 영덕읍 영덕대게로 1213,,,127161,12,0,,A01,A0101,A01011200,,129.4311837414,36.4410876537,6,20031222090000,20240612160045,,35,12
덕동해수욕장,경상남도 통영시 욕지면 서산리,,,127100,12,0,,A01,A0101,A01011200,,128.2347217926,34.6356355724,6,20040107090000,20240611173648,,36,17
도구해수욕장,경상북도 포항시 남구 동해면 일월로81번길,,,1621384,12,0,,A01,A0101,A01011200,,129.4444096143,35.9918193724,6,20120503204753,20240611165552,,35,23
남호해수욕장,경상북도 영덕군 남정면 동해대로 4142,,,127159,12,0,,A01,A0101,A01011200,,129.3799415934,36.3278661912,6,20030703090000,20240611160721,,35,12
화진해수욕장,경상북도 포항시 북구 송라면 동해대로3218번길,,,126094,12,0,,A01,A0101,A01011200,,129.3738915763,36.2518135917,6,20030704090000,20240611155738,,35,23
후정해수욕장,경상북도 울진군 죽변면 후정2길 72,,,126694,12,0,,A01,A0101,A01011200,,129.4159495272,37.0701822631,6,20030909090000,20240611130620,,35,18
하저해수욕장 (하저리 해수욕장),경상북도 영덕군 강구면 하저리,,,127160,12,0,,A01,A0101,A01011200,,129.4079234165,36.3898346941,6,20030703090000,20240610131203,,35,12
경정해수욕장,경상북도 영덕군 축산면 영덕대게로 1726,,,1621219,12,0,,A01,A0101,A01011200,,129.4330268106,36.4820413681,6,20120503191345,20240607151220,,35,12
발포해수욕장,전라남도 고흥군 도화면 천마로 2743,,,127545,12,0,,A01,A0101,A01011200,,127.3574102725,34.4919808950,6,20030729090000,20240607102244,,38,2
예송해수욕장,전라남도 완도군 보길면 예송리,,,126309,12,0,,A01,A0101,A01011200,,126.5628854753,34.1404264316,6,20030704090000,20240605173922,,38,18
격포해수욕장,전북특별자치도 부안군 변산면 변산해변로 29-14,,,126288,12,0,(변산면),A01,A0101,A01011200,,126.4698102873,35.6292793235,6,20030929090000,20240605173901,,37,6
